Ward,Neighbourhood Number,Neighbourhood Name,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85+,No Response
WARD 1,3140,CRESTWOOD,68,83,97,99,76,62,59,74,77,110,116,148,98,100,91,80,64,49,800
WARD 1,3330,PARKVIEW,126,162,138,165,155,96,128,149,164,164,218,247,197,146,89,90,82,64,705
WARD 11,6110,CPR IRVINE,0,1,0,0,18,44,39,4,1,1,6,1,0,1,0,0,2,0,48
WARD 9,5350,RHATIGAN RIDGE,73,130,117,112,112,84,56,83,107,103,142,185,205,171,102,74,42,39,1140
WARD 5,4140,ELMWOOD,131,121,130,169,180,185,173,135,154,154,161,133,145,140,92,117,60,51,290
WARD 8,6350,KENILWORTH,72,76,84,100,97,135,130,103,121,123,325,449,114,90,92,139,127,73,103
WARD 4,2110,BRINTNELL,467,559,394,325,267,421,546,562,473,361,297,193,147,107,45,38,14,3,1263
WARD 4,2270,EVERGREEN,61,66,63,34,50,40,43,71,61,74,107,83,76,101,61,47,16,3,447
WARD 8,6380,LAMBTON INDUSTRIAL,0,0,0,36,70,64,55,12,0,0,0,0,0,0,0,0,0,0,0
WARD 7,1010,ALBERTA AVENUE,256,251,183,202,317,418,518,396,326,332,425,362,272,207,139,78,64,41,1968
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4551,GRANVILLE,108,89,71,45,36,86,152,147,97,58,45,49,33,32,4,2,1,1,513
WARD 12,6140,CRAWFORD PLAINS,221,220,200,250,261,212,275,236,216,240,277,256,207,130,61,31,26,14,946
WARD 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6443,TAMARACK,505,442,316,236,209,364,582,571,416,236,154,106,88,91,36,13,3,13,196
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4240,LA PERLE,205,214,216,213,224,243,225,226,225,196,235,272,269,150,98,68,56,57,1455
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5451,RICHFORD,21,33,25,33,48,42,45,35,27,61,67,64,52,45,49,27,22,13,49
WARD 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2660,RUNDLE HEIGHTS,132,169,178,132,85,167,286,253,221,237,136,117,141,120,93,72,32,23,815
WARD 1,4487,SECORD,262,189,108,93,75,205,360,694,239,106,105,78,63,17,10,5,1,1,560
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6720,TAWA,71,63,52,64,76,95,92,113,85,83,110,131,130,154,105,109,91,58,350
WARD 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2611,CY BECKER,73,51,33,16,29,69,60,54,24,30,19,24,3,3,1,2,0,0,192
WARD 1,4620,WESTVIEW VILLAGE,59,47,38,46,60,63,59,56,50,79,107,116,109,83,65,41,26,8,1045
WARD 6,1090,DOWNTOWN,116,62,38,138,1106,1837,1305,763,415,374,363,382,361,294,180,166,132,381,4355
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6450,MENISA,75,172,188,156,155,155,193,177,156,164,157,181,202,166,73,65,37,26,125
WARD 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2590,OVERLANDERS,173,163,112,131,165,197,237,164,126,132,120,147,139,103,45,30,18,11,724
WARD 5,4560,THORNCLIFF,139,145,148,140,169,183,187,170,156,145,148,120,113,86,90,49,28,24,1314
WARD 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4750,ROSENTHAL,79,63,49,49,50,80,89,94,90,44,28,44,27,19,9,1,3,0,643
WARD 8,6061,CAPILANO,72,72,82,83,89,43,61,88,71,110,153,174,155,102,81,66,64,60,908
WARD 5,4080,CALLINGWOOD SOUTH,249,205,161,140,206,294,296,261,194,178,210,145,165,146,101,98,82,76,2301
WARD 11,6600,RICHFIELD,206,233,284,224,169,161,256,232,193,164,139,148,105,122,91,43,35,14,501
WARD 4,2080,BELVEDERE,206,196,189,186,227,292,280,235,209,232,241,285,191,237,203,223,99,68,1370
WARD 12,6150,DALY GROVE,141,186,204,187,178,242,186,197,223,186,208,238,205,124,75,36,15,10,595
WARD 8,5330,QUEEN ALEXANDRA,127,105,73,121,449,762,483,289,225,155,179,154,167,138,94,73,39,50,1475
WARD 12,6442,SILVER BERRY,301,393,270,246,214,271,339,401,328,254,247,186,140,111,72,25,18,12,5173
WARD 5,4270,LYMBURN,250,295,266,317,376,359,346,294,295,324,423,403,329,223,124,62,36,46,924
WARD 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5453,BLACKMUD CREEK,130,194,188,149,137,126,130,171,203,200,237,165,118,101,80,42,22,11,359
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3390,ROSSLYN,99,141,114,120,132,145,144,145,158,161,210,186,159,163,177,162,178,166,215
WARD 7,1080,DELTON,67,78,77,81,116,131,135,113,104,123,148,148,95,85,62,34,19,33,339
WARD 9,5467,CAVANAGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3190,ELSINORE,61,145,125,161,130,78,85,125,112,162,192,165,130,158,94,69,26,36,256
WARD 7,2330,HIGHLANDS,90,109,81,86,103,110,131,163,114,137,179,190,181,161,94,65,39,79,433
WARD 9,5454,RUTHERFORD,745,797,540,441,484,725,853,893,833,666,440,370,390,287,137,122,51,38,2031
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,15,7,18,9,10,15,14,12,0,0,0,0,0,0,0
WARD 4,2390,KERNOHAN,124,107,107,124,121,139,134,123,120,130,148,179,203,175,90,53,33,24,858
WARD 10,5470,STEINHAUER,88,113,115,129,142,107,124,107,118,120,161,121,162,123,105,62,42,24,164
WARD 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5290,MCKERNAN,79,61,43,68,323,288,147,139,110,70,73,97,86,67,52,30,17,13,692
WARD 12,6770,WEINLOS,84,105,131,171,160,175,162,148,149,140,174,249,251,121,89,51,23,33,892
WARD 12,6440,MEADOWS AREA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5505,AMBLESIDE,360,237,131,118,186,360,510,344,234,194,128,119,102,86,48,33,14,7,1226
WARD 9,5590,BLACKBURNE,46,63,62,79,70,69,55,62,73,105,125,101,114,85,81,39,29,30,122
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
